Ethnicity,Name,Session,State,CD,Party,Delegate,
H,"CUELLAR, Henry",112,TX,28,D,0,6
H,"DIAZ-BALART, Mario",112,FL,21,R,0,7
H,"FLORES, Bill",112,TX,17,R,0,8
H,"FRANKS, Trent",112,AZ,2,R,0,9
H,"GARAMENDI, John",112,CA,10,D,0,10
H,"GONZALEZ, Charles A.",112,TX,20,D,0,11
H,"GRIJALVA, Raul M.",112,AZ,7,D,0,12
H,"GUTIERREZ, Luis V.",112,IL,4,D,0,13
H,"HERRERA BEUTLER, Jaime",112,WA,3,R,0,14
H,"HINOJOSA, Ruben",112,TX,15,D,0,15
H,"LABRADOR, Raul R.",112,ID,1,R,0,16
H,"LUJAN, Ben Ray",112,NM,3,D,0,17
H,"NAPOLITANO, Grace Flores",112,CA,38,D,0,18
H,"NUNES, Devin",112,CA,21,R,0,19
H,"PASTOR, Ed",112,AZ,4,D,0,20
H,"REYES, Silvestre",112,TX,16,D,0,21
H,"RIVERA, David",112,FL,25,R,0,22
H,"ROS-LEHTINEN, Ileana",112,FL,18,R,0,23
H,"ROYBAL-ALLARD, Lucille",112,CA,34,D,0,24
H,"SANCHEZ, Linda T.",112,CA,39,D,0,25
H,"SANCHEZ, Loretta",112,CA,47,D,0,26
H,"SERRANO, Jose E.",112,NY,16,D,0,27
H,"SIRES, Albio",112,NJ,13,D,0,28
H,"VELAZQUEZ, Nydia M.",112,NY,12,D,0,29
B,"ADAMS, Alma",113,NC,12,D,0,1
B,"BASS, Karen",113,CA,37,D,0,2
B,"BEATTY, Joyce",113,OH,3,D,0,3
B,"BISHOP, Sanford Dixon, Jr.",113,GA,2,D,0,4
B,"BROWN, Corrine",113,FL,5,D,0,5
B,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",113,NC,1,D,0,6
B,"CARSON, Andre",113,IN,7,D,0,7
B,"CLARKE, Yvette Diane",113,NY,9,D,0,8
B,"CLAY, William Lacy, Jr.",113,MO,1,D,0,9
B,"CLEAVER, Emanuel, II",113,MO,5,D,0,10
B,"CLYBURN, James Enos",113,SC,6,D,0,11
B,"CONYERS, John, Jr.",113,MI,13,D,0,12
B,"CUMMINGS, Elijah Eugene",113,MD,7,D,0,13
B,"DAVIS, Danny K.",113,IL,7,D,0,14
B,"EDWARDS, Donna F.",113,MD,4,D,0,15
B,"ELLISON, Keith",113,MN,5,D,0,16
B,"FATTAH, Chaka",113,PA,2,D,0,17
B,"FUDGE, Marcia L.",113,OH,11,D,0,18
B,"GREEN, Al",113,TX,9,D,0,19
B,"HASTINGS, Alcee Lamar",113,FL,20,D,0,20
B,"HORSFORD, Steven",113,NV,4,D,0,21
B,"JACKSON LEE, Sheila",113,TX,18,D,0,22
B,"JEFFRIES, Hakeem",113,NY,8,D,0,23
B,"JOHNSON, Eddie Bernice",113,TX,30,D,0,24
B,"JOHNSON, Hank",113,GA,4,D,0,25
B,"KELLY, Robin L.",113,IL,2,D,0,26
B,"LEE, Barbara",113,CA,13,D,0,27
B,"LEWIS, John R.",113,GA,5,D,0,28
B,"MEEKS, Gregory W.",113,NY,5,D,0,29
B,"MOORE, Gwendolynne S. (Gwen)",113,WI,4,D,0,30
B,"NORTON, Eleanor Holmes",113,DC,1,D,1,31
B,"PAYNE, Donald, Jr.",113,NJ,10,D,0,32
B,"RANGEL, Charles B.",113,NY,13,D,0,33
B,"RICHMOND, Cedric",113,LA,2,D,0,34
B,"RUSH, Bobby L.",113,IL,1,D,0,35
B,"SCOTT, David",113,GA,13,D,0,36
B,"SCOTT, Robert C.",113,VA,3,D,0,37
B,"SEWELL, Terri",113,AL,7,D,0,38
B,"THOMPSON, Bennie",113,MS,2,D,0,39
B,"VEASEY, Marc",113,TX,33,D,0,40
B,"WATERS, Maxine",113,CA,43,D,0,41
B,"WATT, Melvin L.",113,NC,12,D,0,42
B,"WILSON, Frederica",113,FL,24,D,0,43
H,"BECERRA, Xavier",113,CA,34,D,0,1
H,"CARDENAS, Tony",113,CA,29,D,0,2
H,"CASTRO, Joaquin",113,TX,20,D,0,3
H,"COSTA, Jim",113,CA,16,D,0,4
H,"CUELLAR, Henry",113,TX,28,D,0,5
H,"DIAZ-BALART, Mario",113,FL,25,R,0,6
H,"FLORES, Bill",113,TX,17,R,0,7
H,"FRANKS, Trent",113,AZ,8,R,0,8
H,"GALLEGO, Pete P.",113,TX,23,D,0,9
H,"GARAMENDI, John",113,CA,3,D,0,10
H,"GARCIA, Joe",113,FL,26,D,0,11
H,"GRIJALVA, Raul M.",113,AZ,3,D,0,12
H,"GUTIERREZ, Luis V.",113,IL,4,D,0,13
H,"HERRERA BEUTLER, Jaime",113,WA,3,R,0,14
H,"HINOJOSA, Ruben",113,TX,15,D,0,15
H,"LABRADOR, Raul R.",113,ID,1,R,0,16
H,"LUJAN GRISHAM, Michelle",113,NM,1,D,0,17
H,"LUJAN, Ben Ray",113,NM,3,D,0,18
H,"NAPOLITANO, Grace Flores",113,CA,32,D,0,19
H,"NEGRETE MCLEOD, Gloria",113,CA,35,D,0,20
H,"NUNES, Devin",113,CA,22,R,0,21
H,"PASTOR, Ed",113,AZ,7,D,0,22
H,"ROS-LEHTINEN, Ileana",113,FL,27,R,0,23
H,"ROYBAL-ALLARD, Lucille",113,CA,40,D,0,24
H,"RUIZ, Raul",113,CA,36,D,0,25
H,"SANCHEZ, Linda T.",113,CA,38,D,0,26
H,"SANCHEZ, Loretta",113,CA,46,D,0,27
H,"SERRANO, Jose E.",113,NY,15,D,0,28
H,"SIRES, Albio",113,NJ,8,D,0,29
H,"VALADAO, David G.",113,CA,21,R,0,30
H,"VARGAS, Juan",113,CA,51,D,0,31
H,"VELA, Filemon",113,TX,34,D,0,32
H,"VELAZQUEZ, Nydia M.",113,NY,7,D,0,33
B,"ADAMS, Alma",114,NC,12,D,0,1
B,"BASS, Karen",114,CA,37,D,0,2
B,"BEATTY, Joyce",114,OH,3,D,0,3
B,"BISHOP, Sanford Dixon, Jr.",114,GA,2,D,0,4
B,"BROWN, Corrine",114,FL,5,D,0,5
B,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",114,NC,1,D,0,6
B,"CARSON, Andre",114,IN,7,D,0,7
B,"CLARKE, Yvette Diane",114,NY,9,D,0,8
B,"CLAY, William Lacy, Jr.",114,MO,1,D,0,9
B,"CLEAVER, Emanuel, II",114,MO,5,D,0,10
B,"CLYBURN, James Enos",114,SC,6,D,0,11
B,"CONYERS, John, Jr.",114,MI,13,D,0,12
B,"CUMMINGS, Elijah Eugene",114,MD,7,D,0,13
B,"DAVIS, Danny K.",114,IL,7,D,0,14
B,"EDWARDS, Donna F.",114,MD,4,D,0,15
B,"ELLISON, Keith",114,MN,5,D,0,16
B,"EVANS, Dwight",114,PA,2,D,0,17
B,"FATTAH, Chaka",114,PA,2,D,0,18
B,"FUDGE, Marcia L.",114,OH,11,D,0,19
B,"GREEN, Al",114,TX,9,D,0,20
B,"HASTINGS, Alcee Lamar",114,FL,20,D,0,21
B,"HURD, William Ballard",114,TX,23,R,0,22
B,"JACKSON LEE, Sheila",114,TX,18,D,0,23
B,"JEFFRIES, Hakeem",114,NY,8,D,0,24
B,"JOHNSON, Eddie Bernice",114,TX,30,D,0,25
B,"JOHNSON, Hank",114,GA,4,D,0,26
B,"KELLY, Robin L.",114,IL,2,D,0,27
B,"LAWRENCE, Brenda L.",114,MI,14,D,0,28
B,"LEE, Barbara",114,CA,13,D,0,29
B,"LEWIS, John R.",114,GA,5,D,0,30
B,"LOVE, Ludmya Bourdeau (Mia)",114,UT,4,R,0,31
B,"MEEKS, Gregory W.",114,NY,5,D,0,32
B,"MOORE, Gwendolynne S. (Gwen)",114,WI,4,D,0,33
B,"NORTON, Eleanor Holmes",114,DC,1,D,1,34
B,"PAYNE, Donald, Jr.",114,NJ,10,D,0,35
B,"RANGEL, Charles B.",114,NY,13,D,0,36
B,"RICHMOND, Cedric",114,LA,2,D,0,37
B,"RUSH, Bobby L.",114,IL,1,D,0,38
B,"SCOTT, David",114,GA,13,D,0,39
B,"SCOTT, Robert C.",114,VA,3,D,0,40
B,"SEWELL, Terri",114,AL,7,D,0,41
B,"THOMPSON, Bennie",114,MS,2,D,0,42
B,"VEASEY, Marc",114,TX,33,D,0,43
B,"WATERS, Maxine",114,CA,43,D,0,44
B,"WATSON COLEMAN, Bonnie",114,NJ,12,D,0,45
B,"WILSON, Frederica",114,FL,24,D,0,46
H,"AGUILAR, Peter Rey",114,CA,31,D,0,1
H,"BECERRA, Xavier",114,CA,34,D,0,2
H,"CARDENAS, Tony",114,CA,29,D,0,3
H,"CASTRO, Joaquin",114,TX,20,D,0,4
H,"COSTA, Jim",114,CA,16,D,0,5
H,"CUELLAR, Henry",114,TX,28,D,0,6
H,"CURBELO, Carlos",114,FL,26,R,0,7
H,"DIAZ-BALART, Mario",114,FL,25,R,0,8
H,"FLORES, Bill",114,TX,17,R,0,9
H,"FRANKS, Trent",114,AZ,8,R,0,10
H,"GALLEGO, Ruben",114,AZ,7,D,0,11
H,"GARAMENDI, John",114,CA,3,D,0,12
H,"GRIJALVA, Raul M.",114,AZ,3,D,0,13
H,"GUTIERREZ, Luis V.",114,IL,4,D,0,14
H,"HERRERA BEUTLER, Jaime",114,WA,3,R,0,15
H,"HINOJOSA, Ruben",114,TX,15,D,0,16
H,"LABRADOR, Raul R.",114,ID,1,R,0,17
H,"LUJAN GRISHAM, Michelle",114,NM,1,D,0,18
H,"LUJAN, Ben Ray",114,NM,3,D,0,19
H,"MOONEY, Alex X.",114,WV,2,R,0,20
H,"NAPOLITANO, Grace Flores",114,CA,32,D,0,21
H,"NUNES, Devin",114,CA,22,R,0,22
H,"ROS-LEHTINEN, Ileana",114,FL,27,R,0,23
H,"ROYBAL-ALLARD, Lucille",114,CA,40,D,0,24
H,"RUIZ, Raul",114,CA,36,D,0,25
H,"SANCHEZ, Linda T.",114,CA,38,D,0,26
H,"SANCHEZ, Loretta",114,CA,46,D,0,27
H,"SERRANO, Jose E.",114,NY,15,D,0,28
H,"SIRES, Albio",114,NJ,8,D,0,29
H,"TORRES, Norma Judith",114,CA,35,D,0,30
H,"VALADAO, David G.",114,CA,21,R,0,31
H,"VARGAS, Juan",114,CA,51,D,0,32
H,"VELA, Filemon",114,TX,34,D,0,33
H,"VELAZQUEZ, Nydia M.",114,NY,7,D,0,34
B,"ADAMS, Alma",115,NC,12,D,0,1
B,"BASS, Karen",115,CA,37,D,0,2
B,"BEATTY, Joyce",115,OH,3,D,0,3
B,"BISHOP, Sanford Dixon, Jr.",115,GA,2,D,0,4
B,"BLUNT ROCHESTER, Lisa",115,DE,1,D,0,5
B,"BROWN, Anthony Gregory",115,MD,4,D,0,6
B,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",115,NC,1,D,0,7
B,"CARSON, Andre",115,IN,7,D,0,8
B,"CLARKE, Yvette Diane",115,NY,9,D,0,9
B,"CLAY, William Lacy, Jr.",115,MO,1,D,0,10
B,"CLEAVER, Emanuel, II",115,MO,5,D,0,11
B,"CLYBURN, James Enos",115,SC,6,D,0,12
B,"CONYERS, John, Jr.",115,MI,13,D,0,13
B,"CUMMINGS, Elijah Eugene",115,MD,7,D,0,14
B,"DAVIS, Danny K.",115,IL,7,D,0,15
B,"DEMINGS, Valdez Butler",115,FL,10,D,0,16
B,"ELLISON, Keith",115,MN,5,D,0,17
B,"EVANS, Dwight",115,PA,2,D,0,18
B,"FUDGE, Marcia L.",115,OH,11,D,0,19
B,"GREEN, Al",115,TX,9,D,0,20
B,"HASTINGS, Alcee Lamar",115,FL,20,D,0,21
B,"HURD, William Ballard",115,TX,23,R,0,22
B,"JACKSON LEE, Sheila",115,TX,18,D,0,23
B,"JEFFRIES, Hakeem",115,NY,8,D,0,24
B,"JOHNSON, Eddie Bernice",115,TX,30,D,0,25
B,"JOHNSON, Hank",115,GA,4,D,0,26
B,"KELLY, Robin L.",115,IL,2,D,0,27
B,"LAWRENCE, Brenda L.",115,MI,14,D,0,28
B,"LAWSON, Alfred Jr.",115,FL,5,D,0,29
B,"LEE, Barbara",115,CA,13,D,0,30
B,"LEWIS, John R.",115,GA,5,D,0,31
B,"LOVE, Ludmya Bourdeau (Mia)",115,UT,4,R,0,32
B,"MCEACHIN, Aston Donald",115,VA,4,D,0,33
B,"MEEKS, Gregory W.",115,NY,5,D,0,34
B,"MOORE, Gwendolynne S. (Gwen)",115,WI,4,D,0,35
B,"NORTON, Eleanor Holmes",115,DC,1,D,1,36
B,"PAYNE, Donald, Jr.",115,NJ,10,D,0,37
B,"PLASKETT, Stacey E.",115,VI,1,D,1,38
B,"RICHMOND, Cedric",115,LA,2,D,0,39
B,"RUSH, Bobby L.",115,IL,1,D,0,40
B,"SCOTT, David",115,GA,13,D,0,41
B,"SCOTT, Robert C.",115,VA,3,D,0,42
B,"SEWELL, Terri",115,AL,7,D,0,43
B,"THOMPSON, Bennie",115,MS,2,D,0,44
B,"VEASEY, Marc",115,TX,33,D,0,45
B,"WATERS, Maxine",115,CA,43,D,0,46
B,"WATSON COLEMAN, Bonnie",115,NJ,12,D,0,47
B,"WILSON, Frederica",115,FL,24,D,0,48
H,"AGUILAR, Peter Rey",115,CA,31,D,0,1
H,"BARRAGAN, Nanette Diaz",115,CA,44,D,0,2
H,"BECERRA, Xavier",115,CA,34,D,0,3
H,"CARBAJAL, Salud",115,CA,24,D,0,4
H,"CARDENAS, Tony",115,CA,29,D,0,5
H,"CASTRO, Joaquin",115,TX,20,D,0,6
H,"CORREA, Jose Luis",115,CA,46,D,0,7
H,"COSTA, Jim",115,CA,16,D,0,8
H,"CUELLAR, Henry",115,TX,28,D,0,9
H,"CURBELO, Carlos",115,FL,26,R,0,10
H,"DIAZ-BALART, Mario",115,FL,25,R,0,11
H,"ESPAILLAT, Adriano J.",115,NY,25,D,0,12
H,"FLORES, Bill",115,TX,17,R,0,13
H,"FRANKS, Trent",115,AZ,8,R,0,14
H,"GALLEGO, Ruben",115,AZ,7,D,0,15
H,"GARAMENDI, John",115,CA,3,D,0,16
H,"GOMEZ, Jimmy",115,CA,34,D,0,17
H,"GONZALEZ-COLON, Jenniffer",115,PR,1,D,1,18
H,"GONZALEZ, Vicente Jr.",115,TX,15,D,0,19
H,"GRIJALVA, Raul M.",115,AZ,3,D,0,20
H,"GUTIERREZ, Luis V.",115,IL,4,D,0,21
H,"HERRERA BEUTLER, Jaime",115,WA,3,R,0,22
H,"KIHUEN, Ruben Jesus",115,NV,4,D,0,23
H,"LABRADOR, Raul R.",115,ID,1,R,0,24
H,"LUJAN GRISHAM, Michelle",115,NM,1,D,0,25
H,"LUJAN, Ben Ray",115,NM,3,D,0,26
H,"MAST, Brian",115,FL,18,R,0,27
H,"MOONEY, Alex X.",115,WV,2,R,0,28
H,"NAPOLITANO, Grace Flores",115,CA,32,D,0,29
H,"NUNES, Devin",115,CA,22,R,0,30
H,"ROS-LEHTINEN, Ileana",115,FL,27,R,0,31
H,"ROYBAL-ALLARD, Lucille",115,CA,40,D,0,32
H,"RUIZ, Raul",115,CA,36,D,0,33
H,"SABLAN, Gregorio Kilili Camacho",115,MP,1,D,1,34
H,"SANCHEZ, Linda T.",115,CA,38,D,0,35
H,"SERRANO, Jose E.",115,NY,15,D,0,36
H,"SIRES, Albio",115,NJ,8,D,0,37
H,"SOTO, Darren Michael",115,FL,9,D,0,38
H,"TORRES, Norma Judith",115,CA,35,D,0,39
H,"VALADAO, David G.",115,CA,21,R,0,40
H,"VARGAS, Juan",115,CA,51,D,0,41
H,"VELA, Filemon",115,TX,34,D,0,42
H,"VELAZQUEZ, Nydia M.",115,NY,7,D,0,43
